,age,body_type,diet,drinks,drugs,education,ethnicity,height,job,sign,smokes,chinese,english,german,hindi,italian,japanese,portuguese,russian,spanish,has kids,wants kids,likes dogs,likes cats,new_religion,k-proto-labels
51,31.0,2.0,other,1.0,sometimes,graduated from grad,black,65.0,executive / management,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,other,34
52,29.0,2.0,anything,2.0,never,working on grad,mixed,75.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,none,23
53,30.0,6.0,anything,2.0,never,graduated from college/university,mixed,65.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,34
54,37.0,5.0,anything,3.0,never,graduated from college/university,white,73.0,medicine / health,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,none,4
55,25.0,4.0,anything,2.0,never,graduated from college/university,white,72.0,artistic / musical / writer,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,1
56,55.0,3.0,vegetarian,0.0,sometimes,space camp,white,71.0,artistic / musical / writer,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,other,48
57,26.0,5.0,anything,2.0,never,graduated from college/university,white,80.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,none,30
58,31.0,5.0,anything,2.0,never,working on grad,white,63.0,artistic / musical / writer,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,other,34
59,24.0,4.0,anything,3.0,never,graduated from college/university,white,67.0,sales / marketing / biz dev,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,judaism,33
60,52.0,4.0,anything,2.0,never,graduated from college/university,white,68.0,executive / management,does_not_matter,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,catholicism,48
61,29.0,3.0,vegetarian,3.0,never,graduated from grad,white,64.0,banking / financial / real estate,whatever,sometimes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,agnosticism,34
62,60.0,3.0,anything,2.0,never,graduated from college/university,white,63.0,medicine / health,does_not_matter,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,christianity,31
63,29.0,2.0,anything,0.0,sometimes,graduated from college/university,mixed,63.0,artistic / musical / writer,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,other,34
64,37.0,3.0,vegetarian,0.0,never,graduated from college/university,white,69.0,computer / hardware / software,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,other,14
65,25.0,3.0,anything,2.0,never,graduated from high school,mixed,65.0,sales / marketing / biz dev,matters,when drinking,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,judaism,49
66,23.0,3.0,anything,2.0,never,graduated from grad,white,76.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,15
67,26.0,3.0,anything,3.0,sometimes,graduated from college/university,mixed,76.0,other,whatever,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,other,25
68,23.0,2.0,anything,1.0,never,graduated from college/university,mixed,62.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,judaism,3
69,20.0,3.0,anything,1.0,never,working on college/university,mixed,68.0,student,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,9
70,23.0,2.0,anything,1.0,never,graduated from college/university,mixed,69.0,student,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,26
71,42.0,5.0,anything,3.0,never,graduated from college/university,asian,67.0,executive / management,whatever,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,20
72,21.0,2.0,anything,2.0,sometimes,working on college/university,white,72.0,computer / hardware / software,does_not_matter,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,none,29
73,30.0,5.0,vegetarian,1.0,never,graduated from college/university,mixed,69.0,education / academia,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,32
74,28.0,5.0,anything,2.0,never,graduated from grad,mixed,69.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,none,37
75,22.0,5.0,anything,3.0,never,graduated from college/university,white,72.0,computer / hardware / software,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,judaism,1
76,50.0,3.0,anything,2.0,never,graduated from college/university,white,67.0,computer / hardware / software,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,christianity,27
77,27.0,3.0,anything,1.0,never,graduated from college/university,white,71.0,unemployed,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,catholicism,0
78,24.0,2.0,anything,2.0,never,graduated from college/university,white,72.0,sales / marketing / biz dev,does_not_matter,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,catholicism,1
79,28.0,2.0,anything,2.0,never,graduated from college/university,white,61.0,hospitality / travel,does_not_matter,trying to quit,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,atheism,13
80,38.0,2.0,anything,2.0,never,space camp,white,73.0,construction / craftsmanship,does_not_matter,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,atheism,4
81,30.0,3.0,anything,3.0,never,graduated from college/university,white,73.0,other,whatever,when drinking,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,23
82,27.0,4.0,anything,2.0,never,graduated from college/university,hispanic / latin,69.0,entertainment / media,does_not_matter,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,catholicism,37
83,30.0,5.0,anything,2.0,never,graduated from grad,black,75.0,banking / financial / real estate,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,christianity,23
84,34.0,2.0,other,0.0,never,graduated from high school,white,59.0,unemployed,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,christianity,11
85,22.0,2.0,vegetarian,2.0,sometimes,working on college/university,mixed,61.0,entertainment / media,whatever,when drinking,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,18
86,28.0,5.0,vegetarian,2.0,never,graduated from grad,white,64.0,medicine / health,does_not_matter,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,christianity,42
87,52.0,5.0,anything,2.0,never,graduated from college/university,white,70.0,executive / management,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,21
88,26.0,5.0,anything,5.0,never,graduated from grad,asian,69.0,sales / marketing / biz dev,matters,when drinking,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,37
89,20.0,2.0,anything,0.0,never,working on college/university,mixed,68.0,student,matters,trying to quit,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,other,9
90,25.0,5.0,anything,2.0,never,graduated from college/university,white,72.0,computer / hardware / software,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,none,1
91,24.0,2.0,anything,3.0,never,graduated from college/university,hispanic / latin,65.0,sales / marketing / biz dev,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,christianity,41
92,35.0,1.0,vegetarian,2.0,sometimes,graduated from college/university,white,62.0,other,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,35
93,39.0,3.0,anything,2.0,sometimes,graduated from college/university,white,67.0,sales / marketing / biz dev,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,5
94,29.0,6.0,halal,0.0,never,graduated from grad,mixed,83.0,military,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,hinduism.,30
95,28.0,5.0,anything,2.0,sometimes,working on college/university,mixed,71.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,0
96,29.0,5.0,anything,2.0,never,working on grad,white,72.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,none,32
97,27.0,1.0,anything,4.0,never,working on college/university,asian,66.0,hospitality / travel,whatever,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,49
98,28.0,4.0,anything,2.0,sometimes,graduated from college/university,white,72.0,education / academia,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,0
99,35.0,5.0,anything,2.0,never,graduated from grad,white,66.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,other,46
100,26.0,5.0,anything,2.0,never,graduated from college/university,white,61.0,medicine / health,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,other,13
101,29.0,3.0,anything,2.0,never,graduated from college/university,white,67.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,none,22
102,32.0,4.0,anything,3.0,never,graduated from college/university,white,71.0,artistic / musical / writer,does_not_matter,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,atheism,44
103,42.0,5.0,anything,2.0,never,graduated from college/university,mixed,67.0,banking / financial / real estate,does_not_matter,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,catholicism,24
104,38.0,5.0,anything,2.0,never,graduated from college/university,white,70.0,sales / marketing / biz dev,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,catholicism,14
105,23.0,3.0,anything,2.0,never,working on grad,hispanic / latin,62.0,other,whatever,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,christianity,3
106,36.0,3.0,vegan,2.0,never,graduated from grad,white,61.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,judaism,43
107,22.0,5.0,anything,2.0,never,working on college/university,white,73.0,student,whatever,sometimes,no,yes,no,no,no,no,no,no,no,no,no,no,no,other,15
108,42.0,4.0,vegetarian,2.0,sometimes,graduated from grad,white,74.0,artistic / musical / writer,whatever,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,38
109,28.0,3.0,anything,2.0,never,graduated from grad,asian,70.0,medicine / health,whatever,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,none,0
110,48.0,5.0,anything,1.0,never,graduated from grad,white,70.0,banking / financial / real estate,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,judaism,27
111,31.0,2.0,anything,2.0,never,graduated from grad,white,67.0,education / academia,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,none,22
112,28.0,5.0,vegetarian,2.0,never,graduated from college/university,white,65.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,agnosticism,42
113,41.0,5.0,anything,2.0,never,graduated from grad,asian,68.0,executive / management,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,christianity,20
114,39.0,5.0,anything,2.0,never,space camp,white,72.0,hospitality / travel,whatever,sometimes,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,agnosticism,4
115,31.0,5.0,vegan,0.0,never,graduated from grad,indian,65.0,law / legal services,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,34
116,41.0,3.0,anything,2.0,never,graduated from college/university,asian,69.0,law / legal services,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,5
117,43.0,3.0,anything,2.0,never,graduated from grad,white,70.0,artistic / musical / writer,whatever,sometimes,no,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,39
118,36.0,2.0,anything,2.0,never,working on grad,white,60.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,other,43
119,34.0,3.0,anything,2.0,sometimes,space camp,hispanic / latin,69.0,hospitality / travel,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,agnosticism,12
120,23.0,5.0,anything,2.0,sometimes,space camp,white,66.0,artistic / musical / writer,whatever,trying to quit,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,none,33
121,32.0,3.0,anything,2.0,never,graduated from college/university,asian,71.0,banking / financial / real estate,does_not_matter,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,none,44
122,20.0,4.0,anything,3.0,sometimes,working on college/university,white,61.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,atheism,18
123,37.0,5.0,anything,2.0,never,graduated from grad,white,66.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,none,36
124,23.0,5.0,vegan,3.0,sometimes,graduated from high school,white,72.0,other,does_not_matter,sometimes,no,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,1
125,36.0,4.0,vegetarian,1.0,never,graduated from college/university,white,65.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,buddhism,36
126,27.0,5.0,vegetarian,3.0,never,working on grad,white,74.0,artistic / musical / writer,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,25
127,41.0,5.0,anything,1.0,never,graduated from college/university,hispanic / latin,71.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,christianity,39
128,25.0,3.0,anything,2.0,never,graduated from grad,white,71.0,science / tech / engineering,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,agnosticism,1
129,19.0,2.0,vegetarian,2.0,never,working on college/university,white,61.0,student,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,18
130,27.0,3.0,anything,2.0,sometimes,graduated from grad,white,67.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,37
131,56.0,2.0,anything,2.0,never,graduated from college/university,white,76.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,7
132,26.0,2.0,anything,1.0,never,graduated from college/university,white,70.0,other,whatever,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,agnosticism,26
133,42.0,2.0,anything,2.0,never,graduated from college/university,white,71.0,computer / hardware / software,whatever,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,catholicism,39
134,58.0,3.0,vegetarian,0.0,never,space camp,white,66.0,other,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,31
135,46.0,3.0,anything,3.0,never,graduated from college/university,white,70.0,science / tech / engineering,whatever,trying to quit,no,yes,no,no,no,no,no,no,no,no,no,no,no,atheism,27
136,35.0,5.0,anything,2.0,never,graduated from grad,white,67.0,law / legal services,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,atheism,12
137,23.0,5.0,vegetarian,0.0,never,working on college/university,hispanic / latin,68.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,none,33
138,51.0,5.0,anything,2.0,never,graduated from college/university,white,70.0,executive / management,does_not_matter,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,christianity,21
139,25.0,2.0,anything,2.0,never,graduated from college/university,white,67.0,entertainment / media,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,christianity,49
140,68.0,3.0,anything,2.0,never,graduated from grad,white,65.0,education / academia,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,christianity,45
141,28.0,5.0,vegetarian,0.0,never,graduated from grad,white,67.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,other,17
142,30.0,3.0,anything,0.0,never,graduated from high school,asian,66.0,hospitality / travel,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,other,22
143,54.0,3.0,anything,2.0,never,graduated from college/university,white,66.0,banking / financial / real estate,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,other,48
144,29.0,4.0,anything,4.0,never,graduated from college/university,asian,65.0,other,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,34
145,25.0,5.0,anything,3.0,sometimes,graduated from grad,white,69.0,sales / marketing / biz dev,does_not_matter,sometimes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,christianity,26
146,69.0,5.0,vegetarian,0.0,sometimes,graduated from college/university,white,63.0,medicine / health,does_not_matter,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,other,45
147,24.0,3.0,vegetarian,2.0,sometimes,working on college/university,white,73.0,student,whatever,when drinking,no,yes,no,no,no,no,no,no,no,no,no,no,no,other,15
148,22.0,5.0,anything,2.0,sometimes,graduated from college/university,white,73.0,computer / hardware / software,does_not_matter,trying to quit,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,29
149,29.0,3.0,anything,1.0,sometimes,graduated from college/university,asian,72.0,entertainment / media,does_not_matter,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,atheism,32
150,31.0,3.0,anything,2.0,never,graduated from college/university,black,69.0,computer / hardware / software,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,christianity,32
151,24.0,2.0,anything,1.0,never,working on grad,white,70.0,education / academia,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,atheism,26
152,25.0,5.0,anything,2.0,sometimes,graduated from college/university,hispanic / latin,69.0,sales / marketing / biz dev,whatever,when drinking,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,none,26
153,33.0,5.0,anything,2.0,never,graduated from grad,mixed,70.0,sales / marketing / biz dev,does_not_matter,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,catholicism,40
154,25.0,2.0,anything,1.0,never,working on college/university,black,67.0,student,whatever,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,christianity,49
155,26.0,3.0,anything,1.0,never,working on grad,asian,69.0,science / tech / engineering,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,atheism,37
156,35.0,5.0,anything,2.0,sometimes,graduated from college/university,white,63.0,other,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,catholicism,43
157,36.0,5.0,vegan,0.0,never,graduated from college/university,white,67.0,other,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,atheism,12
158,32.0,5.0,anything,2.0,never,graduated from college/university,white,67.0,banking / financial / real estate,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,40
159,25.0,3.0,anything,1.0,never,graduated from college/university,asian,70.0,computer / hardware / software,does_not_matter,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,26
160,30.0,3.0,vegetarian,2.0,often,graduated from college/university,white,72.0,other,whatever,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,other,23
161,23.0,3.0,other,2.0,sometimes,working on college/university,mixed,70.0,other,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,agnosticism,26
162,38.0,5.0,anything,2.0,never,graduated from college/university,white,67.0,medicine / health,whatever,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,other,20
163,23.0,4.0,vegan,3.0,sometimes,space camp,white,69.0,artistic / musical / writer,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,atheism,26
164,21.0,3.0,anything,0.0,never,working on college/university,mixed,72.0,student,does_not_matter,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,atheism,29
165,19.0,1.0,anything,2.0,never,graduated from high school,hispanic / latin,63.0,student,whatever,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,none,18
