,age,body_type,diet,drinks,drugs,education,ethnicity,height,job,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion,k proto labels,k-proto-labels
17,20.0,3.0,anything,3.0,often,graduated from high school,white,70.0,student,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,10,10
18,29.0,3.0,anything,2.0,never,graduated from college/university,mixed,66.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,agnosticism,39,39
19,38.0,5.0,anything,2.0,never,graduated from grad,indian,72.0,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,atheism,17,17
20,21.0,3.0,anything,2.0,never,working on college/university,white,67.0,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,15,15
21,47.0,3.0,anything,2.0,never,graduated from high school,white,68.0,retired,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity,38,38
22,21.0,2.0,anything,1.0,never,working on college/university,mixed,70.0,student,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism,10,10
23,20.0,5.0,other,2.0,never,working on college/university,mixed,74.0,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none,49,49
24,27.0,3.0,anything,2.0,often,graduated from high school,mixed,68.0,artistic / musical / writer,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,catholicism,22,22
25,31.0,5.0,vegetarian,2.0,never,graduated from grad,mixed,62.0,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,other,24,24
26,31.0,5.0,anything,2.0,never,graduated from college/university,black,69.0,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,christianity,45,45
27,23.0,5.0,anything,2.0,never,graduated from college/university,white,70.0,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,14,14
28,40.0,3.0,anything,2.0,never,graduated from grad,white,70.0,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,atheism,40,40
29,24.0,5.0,anything,2.0,sometimes,space camp,white,74.0,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,33,33
30,34.0,5.0,vegetarian,2.0,sometimes,graduated from college/university,white,64.0,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,12,12
31,53.0,3.0,anything,2.0,never,graduated from college/university,white,66.0,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,none,35,35
32,27.0,5.0,anything,2.0,never,graduated from grad,white,74.0,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism,7,7
33,24.0,3.0,anything,1.0,never,graduated from college/university,white,70.0,banking / financial / real estate,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,atheism,3,3
34,22.0,3.0,anything,3.0,sometimes,working on college/university,hispanic / latin,71.0,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none,14,14
35,27.0,5.0,other,2.0,never,graduated from college/university,white,76.0,executive / management,does_not_matter,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,7,7
36,25.0,5.0,anything,2.0,sometimes,graduated from college/university,white,66.0,other,whatever,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,other,46,46
37,22.0,3.0,anything,2.0,never,graduated from college/university,white,64.0,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,judaism,2,2
38,37.0,3.0,other,1.0,never,graduated from grad,white,72.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity,17,17
39,30.0,5.0,anything,0.0,never,graduated from college/university,white,68.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,44,44
40,32.0,5.0,anything,1.0,never,working on college/university,white,68.0,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,45,45
41,44.0,5.0,vegetarian,2.0,never,graduated from college/university,white,68.0,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,37,37
42,29.0,4.0,other,0.0,never,graduated from college/university,white,69.0,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,buddhism,18,18
43,40.0,3.0,anything,2.0,sometimes,graduated from high school,mixed,69.0,artistic / musical / writer,whatever,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,none,40,40
44,26.0,5.0,vegetarian,2.0,never,graduated from grad,white,70.0,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity,26,26
45,24.0,4.0,anything,2.0,never,graduated from college/university,white,71.0,science / tech / engineering,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,14,14
46,22.0,4.0,other,2.0,never,graduated from college/university,white,64.0,sales / marketing / biz dev,whatever,when drinking,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,christianity,2,2
47,29.0,3.0,vegetarian,3.0,sometimes,graduated from grad,white,69.0,student,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,22,22
48,26.0,5.0,anything,3.0,sometimes,graduated from college/university,white,71.0,retired,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,christianity,26,26
49,41.0,4.0,anything,2.0,never,graduated from college/university,white,65.0,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,catholicism,41,41
50,52.0,5.0,anything,2.0,never,graduated from high school,white,67.0,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,other,35,35
51,31.0,2.0,other,1.0,sometimes,graduated from grad,black,65.0,executive / management,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other,43,43
52,29.0,2.0,anything,2.0,never,working on grad,mixed,75.0,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,none,7,7
53,30.0,6.0,anything,2.0,never,graduated from college/university,mixed,65.0,entertainment / media,whatever,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,44,44
54,37.0,5.0,anything,3.0,never,graduated from college/university,white,73.0,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,none,17,17
55,25.0,4.0,anything,2.0,never,graduated from college/university,white,72.0,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,26,26
56,55.0,3.0,vegetarian,0.0,sometimes,space camp,white,71.0,artistic / musical / writer,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,4,4
57,26.0,5.0,anything,2.0,never,graduated from college/university,white,80.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none,16,16
58,31.0,5.0,anything,2.0,never,working on grad,white,63.0,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other,24,24
59,24.0,4.0,anything,3.0,never,graduated from college/university,white,67.0,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,46,46
60,52.0,4.0,anything,2.0,never,graduated from college/university,white,68.0,executive / management,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,catholicism,29,29
61,29.0,3.0,vegetarian,3.0,never,graduated from grad,white,64.0,banking / financial / real estate,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,agnosticism,39,39
62,60.0,3.0,anything,2.0,never,graduated from college/university,white,63.0,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,christianity,5,5
63,29.0,2.0,anything,0.0,sometimes,graduated from college/university,mixed,63.0,artistic / musical / writer,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,other,36,36
64,37.0,3.0,vegetarian,0.0,never,graduated from college/university,white,69.0,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,9,9
65,25.0,3.0,anything,2.0,never,graduated from high school,mixed,65.0,sales / marketing / biz dev,matters,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,34,34
66,23.0,3.0,anything,2.0,never,graduated from grad,white,76.0,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,atheism,32,32
67,26.0,3.0,anything,3.0,sometimes,graduated from college/university,mixed,76.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,other,33,33
68,23.0,2.0,anything,1.0,never,graduated from college/university,mixed,62.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,19,19
69,20.0,3.0,anything,1.0,never,working on college/university,mixed,68.0,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,10,10
70,23.0,2.0,anything,1.0,never,graduated from college/university,mixed,69.0,student,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,3,3
71,42.0,5.0,anything,3.0,never,graduated from college/university,asian,67.0,executive / management,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,41,41
72,21.0,2.0,anything,2.0,sometimes,working on college/university,white,72.0,computer / hardware / software,does_not_matter,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none,49,49
73,30.0,5.0,vegetarian,1.0,never,graduated from college/university,mixed,69.0,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,18,18
74,28.0,5.0,anything,2.0,never,graduated from grad,mixed,69.0,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,none,13,13
75,22.0,5.0,anything,3.0,never,graduated from college/university,white,72.0,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,judaism,14,14
76,50.0,3.0,anything,2.0,never,graduated from college/university,white,67.0,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,christianity,38,38
77,27.0,3.0,anything,1.0,never,graduated from college/university,white,71.0,unemployed,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism,26,26
78,24.0,2.0,anything,2.0,never,graduated from college/university,white,72.0,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,catholicism,14,14
79,28.0,2.0,anything,2.0,never,graduated from college/university,white,61.0,hospitality / travel,does_not_matter,trying to quit,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,atheism,36,36
80,38.0,2.0,anything,2.0,never,space camp,white,73.0,construction / craftsmanship,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,atheism,17,17
81,30.0,3.0,anything,3.0,never,graduated from college/university,white,73.0,other,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,27,27
82,27.0,4.0,anything,2.0,never,graduated from college/university,hispanic / latin,69.0,entertainment / media,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,catholicism,13,13
83,30.0,5.0,anything,2.0,never,graduated from grad,black,75.0,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity,7,7
84,34.0,2.0,other,0.0,never,graduated from high school,white,59.0,unemployed,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,christianity,42,42
85,22.0,2.0,vegetarian,2.0,sometimes,working on college/university,mixed,61.0,entertainment / media,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,23,23
86,28.0,5.0,vegetarian,2.0,never,graduated from grad,white,64.0,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,christianity,1,1
87,52.0,5.0,anything,2.0,never,graduated from college/university,white,70.0,executive / management,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,29,29
88,26.0,5.0,anything,5.0,never,graduated from grad,asian,69.0,sales / marketing / biz dev,matters,when drinking,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,13,13
89,20.0,2.0,anything,0.0,never,working on college/university,mixed,68.0,student,matters,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,other,10,10
90,25.0,5.0,anything,2.0,never,graduated from college/university,white,72.0,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none,26,26
91,24.0,2.0,anything,3.0,never,graduated from college/university,hispanic / latin,65.0,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,christianity,34,34
92,35.0,1.0,vegetarian,2.0,sometimes,graduated from college/university,white,62.0,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,42,42
93,39.0,3.0,anything,2.0,sometimes,graduated from college/university,white,67.0,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,41,41
94,29.0,6.0,halal,0.0,never,graduated from grad,mixed,83.0,military,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,hinduism.,16,16
95,28.0,5.0,anything,2.0,sometimes,working on college/university,mixed,71.0,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,18,18
96,29.0,5.0,anything,2.0,never,working on grad,white,72.0,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,none,18,18
97,27.0,1.0,anything,4.0,never,working on college/university,asian,66.0,hospitality / travel,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,39,39
98,28.0,4.0,anything,2.0,sometimes,graduated from college/university,white,72.0,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,26,26
99,35.0,5.0,anything,2.0,never,graduated from grad,white,66.0,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,other,12,12
100,26.0,5.0,anything,2.0,never,graduated from college/university,white,61.0,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,19,19
101,29.0,3.0,anything,2.0,never,graduated from college/university,white,67.0,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,none,39,39
102,32.0,4.0,anything,3.0,never,graduated from college/university,white,71.0,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,atheism,27,27
103,42.0,5.0,anything,2.0,never,graduated from college/university,mixed,67.0,banking / financial / real estate,does_not_matter,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,catholicism,37,37
104,38.0,5.0,anything,2.0,never,graduated from college/university,white,70.0,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,catholicism,9,9
105,23.0,3.0,anything,2.0,never,working on grad,hispanic / latin,62.0,other,whatever,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,christianity,19,19
106,36.0,3.0,vegan,2.0,never,graduated from grad,white,61.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,42,42
107,22.0,5.0,anything,2.0,never,working on college/university,white,73.0,student,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,14,14
108,42.0,4.0,vegetarian,2.0,sometimes,graduated from grad,white,74.0,artistic / musical / writer,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,31,31
109,28.0,3.0,anything,2.0,never,graduated from grad,asian,70.0,medicine / health,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,18,18
110,48.0,5.0,anything,1.0,never,graduated from grad,white,70.0,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,38,38
111,31.0,2.0,anything,2.0,never,graduated from grad,white,67.0,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,none,43,43
112,28.0,5.0,vegetarian,2.0,never,graduated from college/university,white,65.0,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,agnosticism,39,39
113,41.0,5.0,anything,2.0,never,graduated from grad,asian,68.0,executive / management,whatever,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,christianity,40,40
114,39.0,5.0,anything,2.0,never,space camp,white,72.0,hospitality / travel,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,agnosticism,17,17
115,31.0,5.0,vegan,0.0,never,graduated from grad,indian,65.0,law / legal services,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,24,24
116,41.0,3.0,anything,2.0,never,graduated from college/university,asian,69.0,law / legal services,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,40,40
117,43.0,3.0,anything,2.0,never,graduated from grad,white,70.0,artistic / musical / writer,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,6,6
118,36.0,2.0,anything,2.0,never,working on grad,white,60.0,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other,42,42
119,34.0,3.0,anything,2.0,sometimes,space camp,hispanic / latin,69.0,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,agnosticism,25,25
120,23.0,5.0,anything,2.0,sometimes,space camp,white,66.0,artistic / musical / writer,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,none,15,15
121,32.0,3.0,anything,2.0,never,graduated from college/university,asian,71.0,banking / financial / real estate,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,27,27
122,20.0,4.0,anything,3.0,sometimes,working on college/university,white,61.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,atheism,23,23
123,37.0,5.0,anything,2.0,never,graduated from grad,white,66.0,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,none,12,12
124,23.0,5.0,vegan,3.0,sometimes,graduated from high school,white,72.0,other,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,14,14
125,36.0,4.0,vegetarian,1.0,never,graduated from college/university,white,65.0,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,buddhism,12,12
126,27.0,5.0,vegetarian,3.0,never,working on grad,white,74.0,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,7,7
127,41.0,5.0,anything,1.0,never,graduated from college/university,hispanic / latin,71.0,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,christianity,40,40
128,25.0,3.0,anything,2.0,never,graduated from grad,white,71.0,science / tech / engineering,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,26,26
129,19.0,2.0,vegetarian,2.0,never,working on college/university,white,61.0,student,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,23,23
130,27.0,3.0,anything,2.0,sometimes,graduated from grad,white,67.0,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,22,22
131,56.0,2.0,anything,2.0,never,graduated from college/university,white,76.0,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,4,4
132,26.0,2.0,anything,1.0,never,graduated from college/university,white,70.0,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,agnosticism,22,22
133,42.0,2.0,anything,2.0,never,graduated from college/university,white,71.0,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,catholicism,40,40
134,58.0,3.0,vegetarian,0.0,never,space camp,white,66.0,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,5,5
135,46.0,3.0,anything,3.0,never,graduated from college/university,white,70.0,science / tech / engineering,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,atheism,6,6
136,35.0,5.0,anything,2.0,never,graduated from grad,white,67.0,law / legal services,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,atheism,12,12
137,23.0,5.0,vegetarian,0.0,never,working on college/university,hispanic / latin,68.0,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,15,15
138,51.0,5.0,anything,2.0,never,graduated from college/university,white,70.0,executive / management,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,christianity,29,29
139,25.0,2.0,anything,2.0,never,graduated from college/university,white,67.0,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity,34,34
140,68.0,3.0,anything,2.0,never,graduated from grad,white,65.0,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity,8,8
141,28.0,5.0,vegetarian,0.0,never,graduated from grad,white,67.0,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other,13,13
142,30.0,3.0,anything,0.0,never,graduated from high school,asian,66.0,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,other,39,39
143,54.0,3.0,anything,2.0,never,graduated from college/university,white,66.0,banking / financial / real estate,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,35,35
144,29.0,4.0,anything,4.0,never,graduated from college/university,asian,65.0,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,39,39
145,25.0,5.0,anything,3.0,sometimes,graduated from grad,white,69.0,sales / marketing / biz dev,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,christianity,3,3
146,69.0,5.0,vegetarian,0.0,sometimes,graduated from college/university,white,63.0,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,other,8,8
147,24.0,3.0,vegetarian,2.0,sometimes,working on college/university,white,73.0,student,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,14,14
148,22.0,5.0,anything,2.0,sometimes,graduated from college/university,white,73.0,computer / hardware / software,does_not_matter,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,14,14
149,29.0,3.0,anything,1.0,sometimes,graduated from college/university,asian,72.0,entertainment / media,does_not_matter,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,atheism,18,18
150,31.0,3.0,anything,2.0,never,graduated from college/university,black,69.0,computer / hardware / software,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,christianity,45,45
