,Unnamed: 0,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,job,location,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion
17926,51557,33,single,f,straight,5,anything,2,never,working on grad,white,68.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
20002,57505,22,single,f,straight,4,vegan,0,never,working on college/university,white,63.0,medicine / health,A,does_not_matter,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,agnosticism
9169,26166,26,single,f,bisexual,5,anything,3,sometimes,graduated from high school,mixed,60.0,artistic / musical / writer,A,does_not_matter,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,Tatheism
19797,56858,44,single,f,straight,2,anything,2,never,graduated from grad,white,65.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,agnosticism
565,1547,25,single,m,straight,5,anything,2,sometimes,graduated from college/university,white,70.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism
9633,27478,64,single,f,straight,3,vegetarian,0,never,graduated from grad,white,63.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,judaism
20548,59123,21,single,m,straight,3,anything,2,sometimes,working on college/university,white,70.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
7767,22209,23,single,f,bisexual,2,anything,2,sometimes,graduated from college/university,white,66.0,entertainment / media,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
14050,40063,35,single,m,straight,2,anything,3,never,graduated from college/university,black,72.0,hospitality / travel,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,christianity
9763,27799,28,single,m,straight,3,vegetarian,2,never,graduated from college/university,indian,73.0,science / tech / engineering,A,whatever,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,hinduism.
2985,8375,54,single,m,straight,5,anything,2,never,working on college/university,white,71.0,banking / financial / real estate,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
1621,4514,30,single,m,straight,3,anything,0,never,graduated from college/university,white,70.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,Tatheism
9086,25933,27,single,m,straight,5,other,0,never,graduated from grad,white,68.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,christianity
15046,43055,24,single,f,straight,3,anything,2,never,graduated from college/university,white,60.0,hospitality / travel,A,whatever,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,judaism
15610,44579,47,single,f,straight,5,other,2,never,graduated from grad,white,65.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
20141,57948,25,single,f,gay,5,anything,2,never,graduated from college/university,white,67.0,military,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
9499,27106,23,single,m,straight,5,anything,2,never,graduated from college/university,asian,69.0,sales / marketing / biz dev,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
19719,56658,33,single,m,straight,5,anything,2,never,graduated from college/university,white,70.0,sales / marketing / biz dev,A,whatever,when drinking,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity
1828,5078,19,single,m,straight,5,anything,2,never,working on high school,white,65.0,unemployed,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
9607,27413,29,single,m,straight,5,other,2,never,graduated from grad,mixed,67.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,buddhism
20360,58591,27,single,m,straight,5,anything,2,never,graduated from college/university,white,73.0,banking / financial / real estate,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
12453,35539,32,single,f,bisexual,2,anything,1,sometimes,working on college/university,white,64.0,hospitality / travel,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
20398,58680,28,single,m,straight,5,anything,2,sometimes,graduated from college/university,mixed,73.0,artistic / musical / writer,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,judaism
17407,49969,29,single,m,straight,5,other,0,sometimes,space camp,white,75.0,science / tech / engineering,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
625,1698,32,single,f,straight,5,anything,2,never,graduated from college/university,hispanic / latin,66.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
14272,40747,44,single,f,bisexual,2,vegetarian,1,never,graduated from college/university,white,69.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,other
19250,55349,28,single,m,straight,3,anything,3,never,graduated from college/university,white,72.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,catholicism
18482,53241,39,single,f,bisexual,5,anything,2,never,graduated from college/university,white,63.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,agnosticism
1189,3310,35,single,m,straight,3,anything,0,never,graduated from college/university,hispanic / latin,67.0,education / academia,A,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,catholicism
12878,36742,35,single,f,straight,3,anything,3,never,space camp,white,70.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism
20270,58291,29,single,m,straight,5,anything,2,never,graduated from college/university,white,69.0,political / government,A,whatever,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,none
17087,49008,19,single,f,bisexual,3,anything,1,never,space camp,white,62.0,other,A,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
2164,6064,41,single,f,straight,2,other,2,never,graduated from college/university,black,67.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,christianity
1480,4121,26,single,m,straight,3,anything,2,never,working on grad,white,67.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,Tatheism
7361,21039,27,single,m,straight,5,anything,3,sometimes,graduated from college/university,white,68.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,agnosticism
8283,23737,22,single,m,straight,4,anything,3,never,working on college/university,white,72.0,medicine / health,A,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
8668,24855,40,single,m,straight,4,anything,2,often,working on college/university,mixed,70.0,other,A,does_not_matter,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,Tatheism
82,211,33,single,m,straight,3,anything,1,never,graduated from college/university,white,72.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
20550,59128,37,single,m,gay,3,anything,2,never,graduated from grad,white,70.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
44,121,50,single,m,straight,5,anything,2,never,graduated from college/university,white,75.0,unemployed,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,christianity
5891,16853,25,single,m,straight,5,anything,2,never,graduated from grad,asian,67.0,banking / financial / real estate,A,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other
19068,54859,29,single,m,straight,5,anything,3,sometimes,graduated from college/university,white,68.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,agnosticism
20513,59023,27,single,m,straight,2,anything,2,never,graduated from college/university,white,72.0,sales / marketing / biz dev,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
9716,27655,32,single,m,straight,5,vegetarian,1,never,graduated from grad,white,63.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,Tatheism
3259,9123,22,single,m,straight,5,anything,2,never,working on grad,white,69.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,Tatheism
15653,44692,21,single,m,straight,3,anything,2,sometimes,working on college/university,white,76.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,catholicism
19488,56024,24,single,f,straight,2,anything,1,never,working on college/university,mixed,68.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,none
1304,3612,28,single,f,straight,2,anything,3,sometimes,graduated from college/university,asian,60.0,law / legal services,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,catholicism
4184,11938,57,single,f,straight,2,other,4,often,dropped out of high school,hispanic / latin,53.0,retired,A,matters,when drinking,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,catholicism
551,1514,64,single,m,straight,5,anything,2,never,graduated from grad,white,73.0,retired,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
1073,2989,34,single,m,gay,5,anything,2,never,graduated from grad,white,72.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,Tatheism
14057,40086,32,single,m,straight,3,anything,2,never,graduated from grad,asian,67.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,none
5091,14642,45,single,m,straight,3,anything,0,never,graduated from college/university,white,71.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
7686,21981,25,single,f,straight,2,anything,2,never,working on grad,white,67.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism
391,1062,37,single,m,straight,5,vegetarian,2,sometimes,graduated from college/university,white,72.0,science / tech / engineering,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
10960,31252,45,single,f,straight,5,anything,2,never,graduated from college/university,white,69.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,Tatheism
17135,49137,32,single,m,straight,3,anything,2,never,graduated from college/university,white,70.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
6742,19241,28,single,m,gay,3,anything,2,never,graduated from college/university,black,72.0,political / government,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
6203,17709,26,single,m,straight,6,anything,2,sometimes,working on college/university,white,74.0,artistic / musical / writer,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,other
3128,8789,29,single,f,straight,2,vegetarian,2,never,graduated from college/university,white,68.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
4468,12801,45,single,m,straight,3,anything,2,never,graduated from college/university,mixed,72.0,computer / hardware / software,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,christianity
15991,45784,29,single,m,straight,5,anything,2,never,working on grad,white,68.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
9063,25871,40,single,m,gay,3,anything,5,never,working on college/university,middle eastern,73.0,other,A,whatever,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,other
859,2307,27,single,m,straight,4,other,2,sometimes,graduated from college/university,mixed,70.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,none
1883,5256,43,single,m,straight,5,vegetarian,2,never,graduated from college/university,asian,68.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
7537,21617,26,single,f,straight,5,anything,2,never,working on college/university,white,66.0,student,A,matters,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,none
2476,6895,27,single,m,straight,5,vegetarian,2,sometimes,graduated from college/university,mixed,70.0,entertainment / media,A,whatever,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
1915,5377,25,single,m,straight,3,anything,3,sometimes,graduated from college/university,white,71.0,sales / marketing / biz dev,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
7667,21932,26,single,f,straight,2,anything,2,never,graduated from college/university,mixed,67.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,none
11932,34048,62,single,m,gay,4,vegetarian,2,never,graduated from college/university,white,73.0,artistic / musical / writer,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,agnosticism
5569,15926,37,single,f,bisexual,4,anything,2,never,graduated from college/university,white,65.0,computer / hardware / software,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
12209,34878,33,single,m,straight,4,anything,2,never,graduated from college/university,white,68.0,other,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
11823,33744,24,single,f,straight,5,anything,2,never,graduated from college/university,white,68.0,banking / financial / real estate,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
13175,37593,21,single,f,straight,5,anything,2,never,working on college/university,white,68.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
9874,28140,37,single,f,straight,2,anything,3,never,space camp,white,69.0,computer / hardware / software,A,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
5307,15217,49,single,m,gay,5,anything,2,never,graduated from grad,white,73.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,catholicism
18326,52816,30,single,m,straight,5,anything,2,never,graduated from grad,black,73.0,science / tech / engineering,A,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,christianity
7479,21428,40,single,f,straight,5,anything,2,never,graduated from college/university,white,64.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,judaism
14430,41250,31,single,f,gay,2,anything,2,never,working on grad,white,66.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other
4077,11616,33,single,f,straight,5,anything,2,never,graduated from grad,mixed,67.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,none
11890,33942,27,single,m,straight,4,anything,2,never,graduated from college/university,white,68.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,Tatheism
19384,55701,44,single,m,straight,3,anything,2,sometimes,graduated from college/university,white,66.0,science / tech / engineering,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
8054,23064,47,single,f,straight,3,vegan,2,never,graduated from grad,black,65.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,other
17950,51638,37,single,f,straight,2,anything,1,never,graduated from college/university,white,62.0,other,A,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,buddhism
3337,9347,39,single,m,straight,5,anything,0,never,graduated from grad,white,69.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,buddhism
20240,58211,26,single,m,straight,5,anything,2,never,graduated from college/university,white,72.0,banking / financial / real estate,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none
1916,5378,49,single,m,gay,5,anything,2,never,graduated from college/university,white,71.0,banking / financial / real estate,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,Tatheism
19701,56596,23,single,f,straight,3,anything,2,sometimes,graduated from college/university,mixed,62.0,education / academia,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism
10949,31203,27,single,m,straight,3,anything,2,sometimes,working on college/university,white,69.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,Tatheism
4860,13958,60,single,f,straight,5,anything,2,never,graduated from college/university,white,67.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,judaism
17234,49436,66,single,f,straight,3,anything,0,never,graduated from high school,asian,63.0,retired,A,whatever,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,christianity
2151,6035,45,single,f,straight,5,vegetarian,3,sometimes,working on grad,white,62.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
17110,49068,36,single,f,straight,3,anything,2,never,graduated from college/university,black,67.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other
19826,56928,40,single,f,straight,4,anything,2,never,graduated from college/university,white,63.0,hospitality / travel,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,Tatheism
6737,19234,23,single,f,straight,3,vegetarian,2,never,working on grad,asian,61.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,buddhism
17355,49793,23,single,m,straight,5,anything,2,never,graduated from college/university,white,73.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
17761,51036,30,single,m,straight,2,anything,2,sometimes,graduated from college/university,white,70.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,agnosticism
1638,4562,29,single,f,straight,2,anything,2,never,space camp,black,67.0,hospitality / travel,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,other
15981,45742,27,single,m,straight,5,vegetarian,2,never,graduated from college/university,asian,72.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
442,1200,20,single,m,straight,3,anything,2,sometimes,working on college/university,white,71.0,artistic / musical / writer,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
3283,9195,24,single,f,straight,3,other,0,never,graduated from college/university,asian,64.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
246,642,22,single,f,straight,5,anything,2,never,space camp,white,61.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism
2563,7141,33,single,f,straight,3,anything,2,sometimes,graduated from college/university,white,67.0,sales / marketing / biz dev,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
343,903,24,single,m,straight,5,anything,2,never,working on college/university,white,67.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other
19615,56381,42,single,f,straight,2,other,2,never,graduated from college/university,hispanic / latin,68.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,catholicism
