,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,job,location,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion
107,21,single,m,straight,5,anything,1,never,working on grad,white,72.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
109,29,single,m,straight,5,anything,2,never,graduated from college/university,white,66.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity
113,23,single,f,straight,2,anything,1,never,working on college/university,mixed,66.0,other,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,other
114,36,seeing someone,m,straight,5,anything,3,sometimes,graduated from grad,white,70.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
121,50,single,m,straight,5,anything,2,never,graduated from college/university,white,75.0,unemployed,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,christianity
122,23,single,m,straight,5,anything,2,sometimes,space camp,white,66.0,artistic / musical / writer,A,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,none
123,21,single,m,straight,4,anything,2,often,space camp,mixed,70.0,medicine / health,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,Tatheism
124,27,single,f,bisexual,2,anything,2,never,graduated from college/university,white,62.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other
133,39,single,f,straight,3,anything,1,never,graduated from grad,white,68.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
134,22,single,m,straight,5,anything,2,never,working on grad,white,68.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,Tatheism
137,50,single,m,straight,3,anything,3,never,working on college/university,white,73.0,transportation,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,other
141,59,single,m,straight,5,anything,2,never,graduated from grad,white,73.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
142,36,single,m,straight,5,anything,3,sometimes,graduated from college/university,white,73.0,construction / craftsmanship,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
154,26,single,m,straight,5,anything,0,never,graduated from college/university,mixed,73.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,none
155,29,single,f,gay,4,anything,2,never,graduated from college/university,white,61.0,hospitality / travel,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism
157,29,single,f,straight,3,vegetarian,2,never,graduated from grad,white,68.0,law / legal services,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,agnosticism
158,54,single,f,straight,2,anything,2,never,graduated from college/university,white,69.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,other
164,20,single,m,straight,4,anything,1,never,working on college/university,white,72.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Tatheism
167,26,single,f,gay,2,anything,2,never,working on college/university,mixed,63.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,catholicism
168,26,single,f,straight,5,anything,2,never,graduated from college/university,white,68.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,agnosticism
172,62,single,m,straight,5,anything,2,never,graduated from grad,white,73.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,christianity
176,27,single,m,straight,5,anything,2,never,graduated from college/university,white,68.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,judaism
177,29,single,m,straight,2,halal,3,never,dropped out of high school,white,72.0,artistic / musical / writer,A,matters,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,hinduism.
179,25,single,m,straight,2,anything,3,sometimes,graduated from high school,white,71.0,computer / hardware / software,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,Tatheism
180,32,single,m,gay,5,anything,2,never,graduated from college/university,white,69.0,sales / marketing / biz dev,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
181,21,single,f,straight,5,anything,2,never,working on college/university,hispanic / latin,66.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,catholicism
182,27,single,f,straight,2,anything,3,never,graduated from college/university,white,68.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,agnosticism
187,33,single,f,straight,5,anything,2,never,working on grad,white,60.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other
188,28,single,f,straight,5,anything,1,never,graduated from grad,asian,67.0,law / legal services,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
189,37,single,m,straight,5,anything,0,never,graduated from college/university,white,79.0,entertainment / media,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
190,28,single,f,straight,4,vegetarian,1,never,working on grad,indian,61.0,science / tech / engineering,A,whatever,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,agnosticism
194,42,single,m,straight,5,anything,2,never,graduated from grad,asian,71.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,none
195,32,single,f,straight,2,anything,2,never,graduated from grad,white,63.0,education / academia,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,catholicism
196,28,single,m,straight,5,anything,2,sometimes,graduated from grad,hispanic / latin,67.0,banking / financial / real estate,A,whatever,trying to quit,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,other
200,27,single,f,bisexual,5,anything,2,never,graduated from college/university,asian,65.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism
201,28,single,m,straight,5,anything,2,never,graduated from college/university,asian,67.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,other
202,29,seeing someone,f,straight,5,anything,2,never,graduated from college/university,white,66.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
203,31,single,f,straight,5,anything,2,never,working on grad,white,63.0,student,A,does_not_matter,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
205,43,single,f,straight,2,anything,2,never,graduated from grad,white,69.0,political / government,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,judaism
207,24,single,f,gay,5,anything,3,never,graduated from college/university,mixed,69.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,catholicism
209,30,seeing someone,f,straight,4,anything,2,never,working on college/university,white,66.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
210,59,single,f,straight,2,anything,2,never,graduated from college/university,white,62.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,judaism
211,33,single,m,straight,3,anything,1,never,graduated from college/university,white,72.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
212,41,single,m,straight,3,anything,2,never,graduated from college/university,asian,69.0,law / legal services,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
214,24,single,f,straight,4,vegetarian,2,never,graduated from college/university,white,59.0,artistic / musical / writer,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
217,43,single,f,straight,4,anything,2,never,graduated from grad,indian,65.0,banking / financial / real estate,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,hinduism.
218,29,single,m,straight,3,anything,2,sometimes,graduated from grad,mixed,70.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,none
223,42,single,f,straight,5,anything,2,never,space camp,white,63.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,christianity
229,58,single,f,straight,5,anything,1,never,graduated from grad,white,70.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,judaism
231,50,single,f,straight,4,anything,2,never,working on college/university,hispanic / latin,66.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,christianity
233,66,single,f,straight,5,anything,2,never,graduated from college/university,white,65.0,retired,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity
238,22,single,f,straight,3,vegetarian,2,never,graduated from high school,white,63.0,other,A,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
240,35,single,m,straight,3,other,1,never,graduated from college/university,asian,67.0,entertainment / media,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,christianity
242,30,single,m,straight,3,anything,2,never,graduated from college/university,asian,69.0,medicine / health,A,matters,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,christianity
246,28,single,m,straight,5,anything,2,sometimes,graduated from college/university,white,73.0,student,A,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,none
249,34,single,f,straight,3,anything,2,never,graduated from college/university,asian,62.0,other,A,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism
251,39,single,m,straight,4,anything,2,never,graduated from college/university,white,72.0,entertainment / media,A,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,other
255,46,single,m,straight,5,anything,2,never,graduated from college/university,white,68.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
260,50,single,f,straight,3,anything,2,never,graduated from college/university,white,64.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,none
264,41,single,m,straight,5,anything,1,never,graduated from college/university,mixed,67.0,other,A,does_not_matter,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
265,29,single,f,straight,5,anything,2,never,graduated from college/university,mixed,62.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
266,53,single,f,straight,3,other,1,never,working on college/university,white,69.0,clerical / administrative,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity
267,39,single,m,straight,5,vegetarian,1,never,graduated from grad,white,69.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other
272,59,single,f,straight,4,anything,0,never,graduated from college/university,white,63.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism
278,42,single,f,straight,5,anything,1,sometimes,graduated from college/university,white,64.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,buddhism
280,27,single,m,straight,5,anything,1,never,graduated from college/university,black,80.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other
281,45,single,f,straight,3,other,2,never,graduated from college/university,white,60.0,sales / marketing / biz dev,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,other
283,47,single,m,straight,3,anything,1,never,graduated from college/university,white,69.0,construction / craftsmanship,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,christianity
287,49,single,f,straight,3,vegetarian,2,sometimes,graduated from college/university,white,63.0,computer / hardware / software,A,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,buddhism
292,26,single,m,straight,5,vegetarian,2,sometimes,graduated from college/university,white,72.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,catholicism
293,36,single,f,straight,5,anything,2,never,graduated from college/university,asian,63.0,other,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
296,51,single,m,straight,5,anything,2,never,graduated from college/university,white,70.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,christianity
297,28,single,m,straight,5,anything,2,never,graduated from grad,white,73.0,medicine / health,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none
298,48,single,f,straight,3,vegetarian,2,never,graduated from college/university,hispanic / latin,62.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,agnosticism
300,47,single,m,straight,5,anything,0,never,graduated from high school,white,72.0,construction / craftsmanship,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism
301,34,single,f,bisexual,2,anything,2,sometimes,working on college/university,white,66.0,education / academia,A,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,none
302,37,single,f,straight,5,anything,3,sometimes,graduated from college/university,mixed,65.0,other,A,whatever,sometimes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,agnosticism
304,32,single,m,straight,5,anything,2,never,graduated from college/university,hispanic / latin,71.0,sales / marketing / biz dev,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,catholicism
306,33,single,f,straight,3,anything,2,never,graduated from college/university,black,64.0,education / academia,A,matters,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,christianity
308,42,single,m,straight,3,other,2,sometimes,graduated from college/university,mixed,75.0,artistic / musical / writer,A,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
309,29,single,m,straight,5,anything,2,never,graduated from grad,white,70.0,education / academia,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
310,55,single,m,straight,3,anything,2,never,graduated from college/university,white,73.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity
313,31,single,f,straight,3,vegetarian,0,never,graduated from college/university,white,64.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
315,39,single,f,straight,4,anything,0,never,graduated from college/university,hispanic / latin,68.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,catholicism
316,50,single,m,straight,5,anything,2,never,graduated from college/university,white,74.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,none
321,35,single,m,straight,5,vegetarian,2,never,graduated from college/university,asian,72.0,computer / hardware / software,A,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none
322,19,single,f,straight,3,vegetarian,2,sometimes,working on college/university,white,67.0,student,A,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
323,62,single,f,straight,4,anything,2,never,graduated from college/university,white,64.0,artistic / musical / writer,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other
324,44,single,f,straight,5,anything,2,never,graduated from grad,mixed,68.0,medicine / health,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,other
328,63,single,f,straight,3,anything,2,never,graduated from college,white,65.0,banking / financial / real estate,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,judaism
330,53,single,f,straight,3,anything,2,never,graduated from college/university,hispanic / latin,62.0,law / legal services,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,catholicism
335,61,single,f,straight,3,anything,2,never,graduated from high school,white,63.0,retired,A,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
338,34,single,f,straight,5,anything,2,never,graduated from grad,white,67.0,executive / management,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,agnosticism
341,30,single,m,straight,5,anything,2,never,graduated from grad,white,73.0,science / tech / engineering,A,does_not_matter,sometimes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,none
344,20,single,m,straight,3,anything,2,sometimes,working on college/university,white,69.0,other,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism
347,19,single,m,bisexual,2,anything,0,never,working on college/university,white,72.0,student,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,Tatheism
348,60,single,m,straight,5,anything,0,never,graduated from grad,white,68.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none
354,34,single,f,straight,2,anything,1,never,graduated from college/university,white,68.0,artistic / musical / writer,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,Tatheism
356,26,single,m,straight,5,vegetarian,2,never,graduated from college/university,white,75.0,science / tech / engineering,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,buddhism
358,44,single,f,straight,3,anything,2,never,graduated from college/university,white,65.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
361,30,single,f,straight,4,anything,3,sometimes,space camp,white,69.0,other,A,whatever,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other
362,26,single,m,straight,3,anything,2,never,graduated from grad,white,73.0,computer / hardware / software,A,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
365,34,single,m,straight,3,anything,1,never,graduated from high school,white,73.0,computer / hardware / software,A,whatever,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,none
366,48,single,m,straight,5,anything,1,never,graduated from grad,asian,69.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,none
369,27,single,f,straight,3,anything,1,never,graduated from grad,white,63.0,science / tech / engineering,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
372,35,single,m,straight,3,vegan,2,never,graduated from grad,asian,71.0,other,A,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,Tatheism
378,47,single,f,straight,5,anything,2,never,graduated from college/university,white,66.0,executive / management,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
379,31,single,m,straight,5,anything,2,never,graduated from college/university,hispanic / latin,74.0,education / academia,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,none
381,25,single,f,straight,5,anything,2,never,graduated from grad,white,70.0,student,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none
382,33,single,m,straight,4,anything,0,never,graduated from high school,white,68.0,clerical / administrative,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,Tatheism
386,30,single,m,straight,5,vegetarian,2,never,graduated from grad,white,67.0,other,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,none
390,57,single,m,straight,5,vegan,1,sometimes,graduated from college/university,white,69.0,retired,A,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity
391,41,single,m,straight,4,anything,2,never,graduated from college/university,white,72.0,science / tech / engineering,A,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,christianity
