,age,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,job,sign,smokes,arabic,chinese,english,german,hindi,italian,japanese,korean,portuguese,russian,spanish,turkish,has kids,wants kids,likes dogs,likes cats,new_religion,hand-label
38913,24,m,straight,2,anything,2,never,graduated from college/university,white,72,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,catholicism,35
41813,28,f,bisexual,2,anything,2,never,graduated from college/university,white,61,hospitality / travel,does_not_matter,trying to quit,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,atheism,
2203,38,m,straight,2,anything,2,never,space camp,white,73,construction / craftsmanship,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,atheism,
23922,30,m,straight,3,anything,3,never,graduated from college/university,white,73,other,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
13695,27,f,straight,4,anything,2,never,graduated from college/university,hispanic / latin,69,entertainment / media,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,catholicism,
38928,30,m,straight,5,anything,2,never,graduated from grad,black,75,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,christianity,
30242,34,f,straight,2,other,0,never,graduated from high school,white,59,unemployed,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,christianity,
2251,22,f,bisexual,2,vegetarian,2,sometimes,working on college/university,mixed,61,entertainment / media,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
18677,28,f,straight,5,vegetarian,2,never,graduated from grad,white,64,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,christianity,
25958,52,m,straight,5,anything,2,never,graduated from college/university,white,70,executive / management,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,
39033,26,m,straight,5,anything,5,never,graduated from grad,asian,69,sales / marketing / biz dev,matters,when drinking,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
53937,20,m,straight,2,anything,0,never,working on college/university,mixed,68,student,matters,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,other,
16211,25,m,straight,5,anything,2,never,graduated from college/university,white,72,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,none,
3037,24,f,straight,2,anything,3,never,graduated from college/university,hispanic / latin,65,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,christianity,
5706,35,f,bisexual,1,vegetarian,2,sometimes,graduated from college/university,white,62,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,
38769,39,f,straight,3,anything,2,sometimes,graduated from college/university,white,67,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
16137,29,m,straight,6,halal,0,never,graduated from grad,mixed,83,military,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,hinduism.,
45651,28,m,bisexual,5,anything,2,sometimes,working on college/university,mixed,71,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,
24749,29,m,straight,5,anything,2,never,working on grad,white,72,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,none,
27160,27,f,straight,1,anything,4,never,working on college/university,asian,66,hospitality / travel,whatever,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,V
20623,28,m,straight,4,anything,2,sometimes,graduated from college/university,white,72,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
26932,35,m,straight,5,anything,2,never,graduated from grad,white,66,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,other,
52844,26,f,straight,5,anything,2,never,graduated from college/university,white,61,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,
3594,29,f,straight,3,anything,2,never,graduated from college/university,white,67,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,none,
57152,32,m,gay,4,anything,3,never,graduated from college/university,white,71,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,atheism,
25153,42,m,straight,5,anything,2,never,graduated from college/university,mixed,67,banking / financial / real estate,does_not_matter,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,catholicism,
29544,38,f,straight,5,anything,2,never,graduated from college/university,white,70,sales / marketing / biz dev,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,catholicism,
22232,23,f,straight,3,anything,2,never,working on grad,hispanic / latin,62,other,whatever,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,christianity,
54012,36,f,gay,3,vegan,2,never,graduated from grad,white,61,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,
59005,22,m,straight,5,anything,2,never,working on college/university,white,73,student,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,
27531,42,m,bisexual,4,vegetarian,2,sometimes,graduated from grad,white,74,artistic / musical / writer,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
18322,28,m,straight,3,anything,2,never,graduated from grad,asian,70,medicine / health,whatever,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
493,48,m,straight,5,anything,1,never,graduated from grad,white,70,banking / financial / real estate,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,judaism,
5510,31,m,straight,2,anything,2,never,graduated from grad,white,67,education / academia,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,none,
49630,28,f,straight,5,vegetarian,2,never,graduated from college/university,white,65,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,agnosticism,
30165,41,m,straight,5,anything,2,never,graduated from grad,asian,68,executive / management,whatever,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,christianity,
58937,39,m,straight,5,anything,2,never,space camp,white,72,hospitality / travel,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,agnosticism,
5561,31,m,straight,5,vegan,0,never,graduated from grad,indian,65,law / legal services,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,
212,41,m,straight,3,anything,2,never,graduated from college/university,asian,69,law / legal services,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
14701,43,m,straight,3,anything,2,never,graduated from grad,white,70,artistic / musical / writer,whatever,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,
25829,36,f,gay,2,anything,2,never,working on grad,white,60,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other,
57740,34,m,straight,3,anything,2,sometimes,space camp,hispanic / latin,69,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,agnosticism,
122,23,m,straight,5,anything,2,sometimes,space camp,white,66,artistic / musical / writer,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,none,
17500,32,m,straight,3,anything,2,never,graduated from college/university,asian,71,banking / financial / real estate,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
16810,20,f,gay,4,anything,3,sometimes,working on college/university,white,61,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,atheism,
56855,37,f,straight,5,anything,2,never,graduated from grad,white,66,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,none,
15634,23,m,straight,5,vegan,3,sometimes,graduated from high school,white,72,other,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,
12299,36,f,straight,4,vegetarian,1,never,graduated from college/university,white,65,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,buddhism,
52437,27,m,straight,5,vegetarian,3,never,working on grad,white,74,artistic / musical / writer,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,
58298,41,m,straight,5,anything,1,never,graduated from college/university,hispanic / latin,71,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,christianity,
42739,25,m,straight,3,anything,2,never,graduated from grad,white,71,science / tech / engineering,whatever,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,
20061,19,f,bisexual,2,vegetarian,2,never,working on college/university,white,61,student,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,atheism,11
47293,27,f,straight,3,anything,2,sometimes,graduated from grad,white,67,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
55580,56,m,straight,2,anything,2,never,graduated from college/university,white,76,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,agnosticism,
30381,26,f,straight,2,anything,1,never,graduated from college/university,white,70,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,agnosticism,
52431,42,m,straight,2,anything,2,never,graduated from college/university,white,71,computer / hardware / software,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,catholicism,
8398,58,m,gay,3,vegetarian,0,never,space camp,white,66,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
49410,46,m,straight,3,anything,3,never,graduated from college/university,white,70,science / tech / engineering,whatever,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,atheism,
27241,35,f,straight,5,anything,2,never,graduated from grad,white,67,law / legal services,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,atheism,
26608,23,m,straight,5,vegetarian,0,never,working on college/university,hispanic / latin,68,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,none,
296,51,m,straight,5,anything,2,never,graduated from college/university,white,70,executive / management,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,christianity,
9815,25,f,straight,2,anything,2,never,graduated from college/university,white,67,entertainment / media,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,christianity,
27603,68,f,straight,3,anything,2,never,graduated from grad,white,65,education / academia,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,christianity,
33161,28,f,straight,5,vegetarian,0,never,graduated from grad,white,67,medicine / health,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,other,
32014,30,m,straight,3,anything,0,never,graduated from high school,asian,66,hospitality / travel,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,other,
46542,54,m,straight,3,anything,2,never,graduated from college/university,white,66,banking / financial / real estate,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,
38768,29,f,straight,4,anything,4,never,graduated from college/university,asian,65,other,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,other,
12345,25,m,straight,5,anything,3,sometimes,graduated from grad,white,69,sales / marketing / biz dev,does_not_matter,sometimes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,christianity,
59601,69,f,straight,5,vegetarian,0,sometimes,graduated from college/university,white,63,medicine / health,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,other,A
46494,24,m,straight,3,vegetarian,2,sometimes,working on college/university,white,73,student,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,other,
17285,22,m,straight,5,anything,2,sometimes,graduated from college/university,white,73,computer / hardware / software,does_not_matter,trying to quit,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,agnosticism,
20608,29,m,straight,3,anything,1,sometimes,graduated from college/university,asian,72,entertainment / media,does_not_matter,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,atheism,
23949,31,f,straight,3,anything,2,never,graduated from college/university,black,69,computer / hardware / software,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,christianity,
11661,24,f,gay,2,anything,1,never,working on grad,white,70,education / academia,does_not_matter,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,atheism,
12506,25,m,straight,5,anything,2,sometimes,graduated from college/university,hispanic / latin,69,sales / marketing / biz dev,whatever,when drinking,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,none,
47457,33,m,straight,5,anything,2,never,graduated from grad,mixed,70,sales / marketing / biz dev,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,catholicism,
28560,25,f,straight,2,anything,1,never,working on college/university,black,67,student,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,christianity,
15237,26,m,gay,3,anything,1,never,working on grad,asian,69,science / tech / engineering,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,atheism,
39778,35,f,straight,5,anything,2,sometimes,graduated from college/university,white,63,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,catholicism,
25012,36,f,straight,5,vegan,0,never,graduated from college/university,white,67,other,whatever,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,atheism,
49728,32,m,straight,5,anything,2,never,graduated from college/university,white,67,banking / financial / real estate,does_not_matter,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,agnosticism,
13001,25,m,straight,3,anything,1,never,graduated from college/university,asian,70,computer / hardware / software,does_not_matter,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,agnosticism,
