,0
324,28
325,14
326,15
327,35
328,45
329,3
330,36
331,20
332,43
333,7
334,7
335,3
336,39
337,4
338,39
339,23
340,33
341,6
342,13
343,1
344,9
345,10
346,10
347,33
348,11
349,1
350,28
351,39
352,0
353,30
354,18
355,11
356,45
357,34
358,37
359,12
360,40
361,16
362,22
363,25
364,2
365,33
366,33
367,8
368,10
369,42
370,27
371,9
372,21
373,9
374,31
375,43
376,10
377,3
378,19
379,7
380,40
381,49
382,12
383,28
384,15
385,30
386,39
387,11
388,37
389,33
390,12
391,42
392,24
393,11
394,47
395,22
396,30
397,0
398,33
399,31
400,45
401,31
402,31
403,47
404,14
405,16
406,17
407,17
408,24
409,20
410,36
411,3
412,2
413,0
414,7
415,35
416,14
417,13
418,4
419,40
420,8
421,9
422,10
423,49
424,12
425,44
426,44
427,31
428,17
429,18
430,9
431,38
432,34
433,39
434,28
435,17
436,28
437,1
438,3
439,25
440,25
441,17
442,1
443,39
444,22
445,32
446,2
447,25
448,36
449,40
450,33
451,47
452,14
453,17
454,35
455,39
456,49
457,43
458,2
459,23
460,3
461,18
462,44
463,43
464,6
465,12
466,26
467,28
468,41
469,11
470,28
471,15
472,3
473,23
474,10
475,19
476,14
477,10
478,1
479,30
480,30
481,19
482,25
483,42
484,47
485,45
486,13
487,8
488,10
489,39
490,12
491,17
492,48
493,9
494,19
495,24
496,24
497,10
498,9
499,31
500,36
501,35
502,49
503,49
504,18
505,16
506,45
507,14
508,13
509,32
510,28
511,21
512,23
513,14
514,40
515,35
516,41
517,17
518,7
519,24
520,44
521,21
522,26
523,19
524,35
525,32
526,27
527,7
528,31
529,42
530,23
531,9
532,46
533,18
534,47
535,13
536,40
537,0
538,38
539,43
540,22
541,42
542,11
543,25
544,40
545,22
546,4
547,26
548,33
549,7
550,3
551,30
552,23
553,35
554,4
555,45
556,9
557,14
558,41
559,42
560,36
561,49
562,33
563,18
564,14
565,3
566,30
567,14
568,31
569,25
570,42
571,17
572,31
573,49
574,29
575,30
576,8
577,49
578,28
579,27
580,8
581,13
582,13
583,10
584,33
585,32
586,48
587,47
588,42
589,43
590,46
591,16
592,1
593,14
594,36
595,48
596,27
597,9
598,27
599,8
600,27
601,24
602,30
603,9
604,33
605,18
606,29
607,21
608,3
609,47
610,48
611,6
612,17
613,20
614,37
615,23
616,40
617,9
618,11
619,7
620,3
621,34
622,41
623,11
624,13
625,49
626,32
627,38
628,40
629,38
630,43
631,19
632,44
633,18
634,30
635,17
636,24
637,33
638,20
639,13
640,6
641,7
642,44
643,24
644,36
645,49
646,43
647,27
648,49
649,32
650,32
651,17
652,45
653,47
654,41
655,25
656,38
657,33
658,6
659,11
660,27
661,42
662,44
663,36
664,32
665,20
666,47
667,31
668,32
669,37
670,33
671,29
672,18
673,14
674,37
675,23
676,10
677,2
678,11
679,38
680,25
681,45
682,11
683,20
684,19
685,29
686,17
687,6
688,6
689,42
690,20
691,45
692,31
693,11
694,26
695,12
696,41
697,42
698,40
699,37
700,0
701,38
702,20
703,45
704,31
705,8
706,19
707,30
708,14
709,44
710,25
711,1
712,35
713,33
714,21
715,38
716,8
717,11
718,12
719,8
720,6
721,12
722,12
723,29
724,2
725,23
726,9
727,4
728,17
729,35
730,40
731,19
732,44
733,25
734,18
735,24
736,11
737,12
738,9
739,46
740,29
741,37
742,38
743,22
744,49
745,6
746,1
747,14
748,27
749,14
750,37
751,12
752,26
753,20
754,9
755,4
756,44
757,0
758,17
759,40
760,8
761,3
762,31
763,10
764,26
765,10
766,10
767,32
768,18
769,33
770,35
771,24
772,28
773,30
774,2
775,43
776,22
777,44
778,1
779,48
780,1
781,4
782,22
783,40
784,33
785,24
786,6
787,40
788,25
789,35
790,13
791,6
792,1
793,6
794,44
795,18
796,6
797,6
798,20
799,4
800,8
801,39
802,24
803,4
804,48
805,25
806,30
807,49
808,3
809,19
810,13
811,13
812,26
813,29
814,7
815,40
816,33
817,25
818,33
819,24
820,1
821,34
822,3
823,31
824,24
825,20
826,11
827,35
828,10
829,26
830,13
831,10
832,39
833,10
834,20
835,35
836,16
837,48
838,48
839,31
840,2
841,47
842,11
843,25
844,41
845,37
846,3
847,35
848,19
849,20
850,2
851,11
852,27
853,29
854,9
855,32
856,15
857,11
858,39
859,14
860,49
861,44
862,44
863,6
864,25
865,45
866,27
867,18
868,24
869,40
870,32
871,43
872,12
873,26
874,24
875,31
876,8
877,30
878,19
879,22
880,18
881,1
882,27
883,30
884,9
885,24
886,41
887,16
888,27
889,38
890,8
891,38
892,42
893,2
894,11
895,9
896,8
897,2
898,49
899,47
900,43
901,12
902,36
903,41
904,4
905,44
906,28
907,27
908,6
909,28
910,18
911,21
912,3
913,36
914,19
915,36
916,37
917,2
918,13
919,25
920,6
921,19
922,41
923,0
924,35
925,9
926,15
927,13
928,34
929,23
930,1
931,45
932,28
933,46
934,4
935,8
936,10
937,46
938,36
939,19
940,34
941,3
942,4
943,38
944,20
945,48
946,15
947,2
948,47
949,43
950,15
951,17
952,35
953,8
954,9
955,18
956,30
957,32
958,15
959,26
960,30
961,11
962,27
963,27
964,19
965,19
966,40
967,36
968,4
969,28
970,13
971,44
972,25
973,36
974,43
975,22
976,7
977,32
978,19
979,27
980,39
981,20
982,6
983,43
984,2
985,10
986,36
987,31
988,6
989,6
990,23
991,36
992,37
993,5
994,36
995,28
996,47
997,10
998,19
999,48
1000,42
1001,47
1002,26
1003,37
1004,1
1005,24
1006,38
1007,48
1008,47
1009,37
1010,13
1011,33
1012,35
1013,18
1014,42
1015,10
1016,31
1017,9
1018,18
1019,9
1020,32
1021,23
1022,31
1023,38
1024,40
1025,48
1026,35
1027,23
1028,28
1029,29
1030,30
1031,9
1032,14
1033,19
1034,13
1035,8
1036,30
1037,23
1038,3
1039,16
1040,45
1041,9
1042,39
1043,9
1044,31
1045,21
1046,35
1047,25
1048,47
1049,30
1050,13
1051,19
1052,25
1053,7
1054,3
1055,32
1056,26
1057,10
1058,21
1059,11
1060,2
1061,16
1062,44
1063,22
1064,39
1065,6
1066,37
1067,2
1068,17
1069,42
1070,49
1071,43
1072,38
1073,17
1074,9
1075,2
1076,35
1077,45
1078,6
1079,43
1080,27
1081,37
1082,13
1083,7
1084,18
1085,25
1086,41
1087,9
1088,26
1089,15
1090,19
1091,29
1092,3
1093,17
1094,24
1095,19
1096,33
1097,44
1098,30
1099,13
1100,18
1101,15
1102,20
1103,1
1104,13
1105,25
1106,33
1107,27
1108,43
1109,6
1110,6
1111,23
1112,8
1113,30
1114,14
1115,41
1116,6
1117,38
1118,18
1119,5
1120,48
1121,44
1122,40
1123,18
1124,11
1125,11
1126,34
1127,23
1128,21
1129,29
1130,30
1131,32
1132,23
1133,42
1134,46
1135,19
1136,35
1137,9
1138,17
1139,12
1140,47
1141,37
1142,7
1143,13
1144,29
1145,22
1146,42
1147,23
1148,41
1149,17
1150,25
1151,13
1152,6
1153,20
1154,29
1155,2
1156,38
1157,35
1158,13
1159,7
1160,21
1161,32
1162,48
1163,47
1164,48
1165,16
1166,47
1167,49
1168,48
1169,44
1170,5
1171,9
1172,30
1173,42
1174,33
1175,11
1176,37
1177,8
1178,48
1179,24
1180,7
1181,6
1182,42
1183,46
1184,24
1185,15
1186,48
1187,9
1188,9
1189,49
1190,22
1191,34
1192,47
1193,4
1194,40
1195,25
1196,10
1197,27
1198,30
1199,8
1200,36
1201,6
1202,46
1203,44
1204,47
1205,41
1206,1
1207,1
1208,33
1209,37
1210,1
1211,49
1212,11
1213,41
1214,2
1215,9
1216,34
1217,27
1218,20
1219,39
1220,23
1221,26
1222,37
1223,3
1224,49
1225,14
1226,3
1227,27
1228,41
1229,11
1230,1
1231,9
1232,7
1233,33
1234,19
1235,38
1236,11
1237,29
1238,19
1239,12
1240,28
1241,29
1242,49
1243,21
1244,25
1245,2
1246,8
1247,1
1248,1
1249,0
1250,3
1251,28
1252,24
1253,18
1254,30
1255,26
1256,6
1257,26
1258,1
1259,44
1260,47
1261,44
1262,29
1263,36
1264,5
1265,33
1266,18
1267,0
1268,6
1269,9
1270,11
1271,48
1272,39
1273,17
1274,39
1275,48
1276,35
1277,34
1278,42
1279,26
1280,40
1281,6
1282,30
1283,9
1284,44
1285,23
1286,38
1287,17
1288,35
1289,30
1290,10
1291,20
1292,14
1293,42
1294,1
1295,46
1296,32
1297,17
1298,4
1299,48
1300,22
1301,30
1302,40
1303,17
1304,41
1305,7
1306,13
1307,32
1308,4
1309,46
1310,28
1311,24
1312,26
1313,40
1314,24
1315,8
1316,3
1317,15
1318,27
1319,48
1320,8
1321,36
1322,10
1323,33
1324,11
1325,14
1326,27
1327,36
1328,17
1329,13
1330,48
1331,49
1332,40
1333,14
1334,39
1335,49
1336,9
1337,27
1338,6
1339,18
1340,36
1341,22
1342,38
1343,13
1344,38
1345,9
1346,40
1347,22
1348,33
1349,6
1350,14
1351,11
1352,40
1353,11
1354,2
1355,32
1356,25
1357,44
1358,24
1359,17
1360,0
1361,19
1362,24
1363,20
1364,11
1365,13
1366,19
1367,28
1368,48
1369,41
1370,13
1371,26
1372,40
1373,46
1374,49
1375,36
1376,41
1377,35
1378,32
1379,43
1380,9
1381,3
1382,29
1383,23
1384,3
1385,2
1386,34
1387,12
1388,39
1389,32
1390,20
1391,45
1392,12
1393,25
1394,26
1395,12
1396,3
1397,27
1398,19
1399,13
1400,18
1401,45
1402,23
1403,4
1404,7
1405,19
1406,39
1407,18
1408,23
1409,30
1410,24
1411,8
1412,35
1413,18
1414,32
1415,40
1416,17
1417,40
1418,17
1419,22
1420,42
1421,32
1422,33
1423,39
1424,33
1425,40
1426,37
1427,18
1428,41
1429,32
1430,25
1431,1
1432,39
1433,35
1434,19
1435,2
1436,40
1437,49
1438,28
1439,40
1440,40
1441,30
1442,40
1443,5
1444,28
1445,1
1446,30
1447,18
1448,40
1449,27
1450,29
1451,19
1452,15
1453,17
1454,19
1455,32
1456,36
1457,7
1458,34
1459,30
1460,32
1461,49
1462,18
1463,26
1464,8
1465,38
1466,9
1467,1
1468,6
1469,10
1470,22
1471,45
1472,11
1473,39
1474,33
1475,31
1476,41
1477,12
1478,47
1479,41
1480,6
1481,18
1482,41
1483,11
1484,48
1485,11
1486,26
1487,33
1488,32
1489,24
1490,20
1491,24
1492,30
1493,32
1494,30
1495,14
1496,35
1497,26
1498,19
1499,0
1500,21
1501,9
1502,9
1503,34
1504,23
1505,43
1506,38
1507,18
1508,42
1509,30
1510,30
1511,8
1512,39
1513,27
1514,6
1515,16
1516,23
1517,32
1518,23
1519,34
1520,23
1521,26
1522,22
1523,30
1524,11
1525,8
1526,26
1527,37
1528,39
1529,26
1530,6
1531,23
1532,26
1533,38
1534,7
1535,27
1536,22
1537,11
1538,40
1539,46
1540,36
1541,13
1542,32
1543,30
1544,18
1545,29
1546,11
1547,10
1548,10
1549,13
1550,43
1551,41
1552,33
1553,3
1554,0
1555,2
1556,26
1557,44
1558,18
1559,41
1560,6
1561,42
1562,31
1563,45
1564,22
1565,35
1566,33
1567,10
1568,11
1569,19
1570,24
1571,3
1572,39
1573,13
1574,21
1575,46
1576,19
1577,33
1578,24
1579,28
1580,4
1581,32
1582,26
1583,4
1584,2
1585,27
1586,49
1587,1
1588,4
1589,33
1590,9
1591,38
1592,8
1593,43
1594,15
1595,33
1596,0
1597,46
1598,28
1599,21
1600,39
1601,37
1602,8
1603,3
1604,23
1605,10
1606,12
1607,27
1608,14
1609,4
1610,44
1611,23
1612,8
1613,44
1614,9
1615,1
1616,3
1617,13
1618,25
1619,13
1620,28
1621,19
1622,7
1623,30
1624,24
1625,29
1626,12
1627,28
1628,22
1629,40
1630,28
1631,46
1632,49
1633,15
1634,15
1635,32
1636,13
1637,44
1638,39
1639,10
1640,14
1641,2
1642,47
1643,4
1644,11
1645,37
1646,43
1647,0
1648,40
1649,21
1650,15
1651,36
1652,27
1653,43
1654,1
1655,19
1656,40
1657,30
1658,18
1659,22
1660,38
1661,18
1662,38
1663,35
1664,14
1665,44
1666,3
1667,14
1668,12
1669,35
1670,12
1671,6
1672,40
1673,6
1674,14
1675,34
1676,34
1677,11
1678,45
1679,11
1680,17
1681,39
1682,25
1683,9
1684,20
1685,8
1686,16
1687,39
1688,46
1689,34
1690,6
1691,10
1692,9
1693,19
1694,43
1695,8
1696,4
1697,9
1698,15
1699,19
1700,2
1701,43
1702,41
1703,24
1704,28
1705,7
1706,36
1707,44
1708,28
1709,12
1710,13
1711,6
1712,15
1713,6
1714,20
1715,4
1716,42
1717,18
1718,25
1719,3
1720,22
1721,3
1722,20
1723,41
1724,29
1725,18
1726,37
1727,47
1728,11
1729,25
1730,20
1731,13
1732,18
1733,11
1734,12
1735,20
1736,47
1737,23
1738,28
1739,33
1740,29
1741,17
1742,15
1743,48
1744,4
1745,6
1746,28
1747,21
1748,48
1749,28
1750,18
1751,47
1752,12
1753,45
1754,3
1755,8
1756,0
1757,36
1758,40
1759,48
1760,40
1761,26
1762,25
1763,19
1764,1
1765,41
1766,6
1767,8
1768,3
1769,26
1770,47
1771,24
1772,8
1773,29
1774,19
1775,2
1776,0
1777,41
1778,18
1779,14
1780,29
1781,27
1782,4
1783,35
1784,36
1785,38
1786,15
1787,44
1788,43
1789,49
1790,11
1791,25
1792,49
1793,11
1794,40
1795,18
1796,20
1797,1
1798,25
1799,6
1800,41
1801,24
1802,7
1803,16
1804,43
1805,43
1806,11
1807,48
1808,8
1809,31
1810,30
1811,35
1812,30
1813,9
1814,10
1815,46
1816,2
1817,25
1818,48
1819,11
1820,17
1821,20
1822,32
1823,36
1824,20
1825,38
1826,38
1827,33
1828,3
1829,15
1830,24
1831,46
1832,27
1833,30
1834,1
1835,30
1836,24
1837,47
1838,40
1839,15
1840,43
1841,14
1842,34
1843,11
1844,34
1845,28
1846,26
1847,29
1848,28
1849,43
1850,38
1851,37
1852,1
1853,48
1854,15
1855,47
1856,22
1857,45
1858,12
1859,0
1860,17
1861,28
1862,9
1863,14
1864,4
1865,4
1866,18
1867,0
1868,30
1869,48
1870,38
1871,19
1872,36
1873,9
1874,46
1875,15
1876,43
1877,25
1878,35
1879,16
1880,17
1881,36
1882,32
1883,9
1884,20
1885,13
1886,23
1887,6
1888,43
1889,39
1890,48
1891,39
1892,43
1893,46
1894,40
1895,17
1896,30
1897,49
1898,48
1899,11
1900,9
1901,22
1902,48
1903,46
1904,25
1905,49
1906,20
1907,15
1908,35
1909,25
1910,16
1911,40
1912,29
1913,19
1914,24
1915,15
1916,48
1917,13
1918,32
1919,32
1920,7
1921,37
1922,6
1923,41
1924,37
1925,20
1926,12
1927,34
1928,28
1929,12
1930,14
1931,35
1932,10
1933,27
1934,19
1935,39
1936,11
1937,35
1938,33
1939,37
1940,17
1941,48
1942,2
1943,33
1944,28
1945,27
1946,31
1947,44
1948,47
1949,33
1950,21
1951,29
1952,13
1953,7
1954,37
1955,27
1956,0
1957,0
1958,14
1959,48
1960,31
1961,28
1962,48
1963,42
1964,30
1965,8
1966,8
1967,44
1968,11
1969,26
1970,11
1971,2
1972,14
1973,20
1974,36
1975,26
1976,8
1977,23
1978,8
1979,41
1980,8
1981,40
1982,27
1983,12
1984,25
1985,9
1986,30
1987,34
1988,7
1989,27
1990,33
1991,11
1992,42
1993,17
1994,27
1995,14
1996,13
1997,7
1998,39
1999,46
2000,33
2001,13
2002,48
2003,16
2004,0
2005,25
2006,1
2007,39
2008,40
2009,37
2010,30
2011,8
2012,23
2013,30
2014,25
2015,6
2016,48
2017,29
2018,21
2019,33
2020,28
2021,48
2022,49
2023,22
2024,23
2025,7
2026,10
2027,18
2028,13
2029,33
2030,36
2031,19
2032,0
2033,32
2034,33
2035,16
2036,17
2037,34
2038,9
2039,29
2040,11
2041,37
2042,30
2043,45
2044,12
2045,37
2046,25
2047,6
2048,12
2049,48
2050,45
2051,24
2052,33
2053,14
2054,1
2055,11
2056,20
2057,13
2058,13
2059,45
2060,45
2061,47
2062,33
2063,42
2064,28
2065,36
2066,36
2067,30
2068,17
2069,26
2070,23
2071,13
2072,39
2073,10
2074,43
2075,3
2076,25
2077,20
2078,45
2079,35
2080,48
2081,1
2082,40
2083,16
2084,28
2085,36
2086,10
2087,31
2088,47
2089,12
2090,14
2091,36
2092,24
2093,25
2094,13
2095,20
2096,12
2097,34
2098,11
2099,35
2100,14
2101,42
2102,30
2103,4
2104,12
2105,12
2106,32
2107,45
2108,36
2109,24
2110,25
2111,46
2112,25
2113,48
2114,20
2115,39
2116,20
2117,12
2118,16
2119,36
2120,30
2121,35
2122,27
2123,29
2124,13
2125,31
2126,37
2127,25
2128,29
2129,42
2130,32
2131,48
2132,31
2133,48
2134,9
2135,41
2136,18
2137,23
2138,17
2139,6
2140,44
2141,13
2142,8
2143,40
2144,18
2145,13
2146,46
2147,7
2148,14
2149,36
2150,38
2151,11
2152,38
2153,11
2154,41
2155,11
2156,35
2157,27
2158,29
2159,49
2160,41
2161,44
2162,17
2163,14
2164,38
2165,40
2166,14
2167,32
2168,16
2169,17
2170,5
2171,48
2172,15
2173,21
2174,25
2175,29
2176,25
2177,40
2178,22
2179,11
2180,10
2181,27
2182,11
2183,13
2184,38
2185,15
2186,36
2187,30
2188,10
2189,35
2190,44
2191,30
2192,12
2193,34
2194,17
2195,41
2196,15
2197,13
2198,7
2199,43
2200,17
2201,43
2202,23
2203,35
2204,30
2205,24
2206,48
2207,21
2208,16
2209,8
2210,25
2211,29
2212,16
2213,39
2214,11
2215,9
2216,33
2217,9
2218,33
2219,0
2220,4
2221,24
2222,13
2223,21
2224,23
2225,32
2226,25
2227,2
2228,39
2229,20
2230,41
2231,33
2232,15
2233,35
2234,21
2235,7
2236,17
2237,34
2238,49
2239,48
2240,0
2241,18
2242,46
2243,40
2244,25
2245,40
2246,34
2247,14
2248,41
2249,9
2250,18
2251,18
2252,48
2253,13
2254,40
2255,18
2256,15
2257,11
2258,14
2259,44
2260,34
2261,30
2262,6
2263,21
2264,12
2265,20
2266,35
2267,44
2268,48
2269,33
2270,32
2271,23
2272,27
2273,0
2274,39
2275,48
2276,20
2277,0
2278,40
2279,15
2280,48
2281,48
2282,9
2283,28
2284,25
2285,48
2286,21
2287,24
2288,3
2289,49
2290,42
2291,14
2292,10
2293,20
2294,30
2295,15
2296,14
2297,41
2298,40
2299,45
2300,41
2301,9
2302,3
2303,44
2304,15
2305,48
2306,4
2307,21
2308,36
2309,36
2310,43
2311,9
2312,25
2313,39
2314,25
2315,12
2316,20
2317,6
2318,1
2319,26
2320,27
2321,4
2322,32
2323,43
2324,7
2325,33
2326,14
2327,20
2328,31
2329,10
2330,43
2331,3
2332,10
2333,49
2334,29
2335,49
2336,17
2337,40
2338,40
2339,32
2340,25
2341,15
2342,37
2343,49
2344,11
2345,34
2346,26
2347,23
2348,32
2349,31
2350,30
2351,30
2352,13
2353,30
2354,1
2355,20
2356,10
2357,21
2358,30
2359,37
2360,25
2361,3
2362,4
2363,2
2364,38
2365,31
2366,15
2367,29
2368,4
2369,24
2370,24
2371,10
2372,28
2373,10
2374,9
2375,21
2376,6
2377,35
2378,26
2379,27
2380,14
2381,1
2382,49
2383,37
2384,35
2385,15
2386,44
2387,0
2388,49
2389,11
2390,37
2391,45
2392,13
2393,38
2394,3
2395,6
2396,36
2397,18
2398,43
2399,10
2400,35
2401,14
2402,48
2403,6
2404,6
2405,14
2406,0
2407,7
2408,41
2409,20
2410,25
2411,34
2412,31
2413,48
2414,22
2415,27
2416,43
2417,7
2418,5
2419,43
2420,28
2421,26
2422,18
2423,10
2424,6
2425,33
2426,1
2427,24
2428,20
2429,18
2430,24
2431,18
2432,1
2433,33
2434,48
2435,14
2436,35
2437,17
2438,6
2439,47
2440,36
2441,47
2442,17
2443,30
2444,26
2445,2
2446,11
2447,45
2448,23
2449,1
2450,2
2451,17
2452,13
2453,42
2454,7
2455,44
2456,23
2457,2
2458,40
2459,37
2460,39
2461,41
2462,20
2463,28
2464,31
2465,34
2466,25
2467,19
2468,12
2469,1
2470,30
2471,36
2472,32
2473,28
2474,12
2475,46
2476,0
2477,0
2478,48
2479,37
2480,2
2481,9
2482,14
2483,1
2484,11
2485,9
2486,38
2487,7
2488,38
2489,31
2490,36
2491,12
2492,1
2493,0
2494,32
2495,30
2496,9
2497,6
2498,16
2499,28
2500,22
2501,20
2502,28
2503,20
2504,1
2505,4
2506,42
2507,20
2508,9
2509,27
2510,15
2511,14
2512,9
2513,27
2514,2
2515,40
2516,11
2517,10
2518,36
2519,15
2520,30
2521,27
2522,7
2523,7
2524,40
2525,9
2526,17
2527,20
2528,36
2529,39
2530,25
2531,25
2532,13
2533,13
2534,30
2535,8
2536,41
2537,14
2538,41
2539,13
2540,30
2541,16
2542,27
2543,43
2544,14
2545,14
2546,23
2547,39
2548,40
2549,30
2550,48
2551,49
2552,29
2553,33
2554,40
2555,35
2556,33
2557,44
2558,6
2559,49
2560,17
2561,2
2562,26
2563,42
2564,17
2565,46
2566,6
2567,13
2568,25
2569,9
2570,2
2571,40
2572,35
2573,34
2574,12
2575,36
2576,28
2577,23
2578,38
2579,46
2580,11
2581,17
2582,25
2583,17
2584,48
2585,27
2586,12
2587,28
2588,27
2589,24
2590,10
2591,36
2592,31
2593,11
2594,33
2595,22
2596,22
2597,18
2598,1
2599,8
2600,13
2601,21
2602,19
2603,7
2604,47
2605,44
2606,34
2607,31
2608,6
2609,4
2610,49
2611,44
2612,30
2613,12
2614,17
2615,23
2616,25
2617,29
2618,31
2619,41
2620,13
2621,7
2622,5
2623,19
2624,13
2625,9
2626,28
2627,7
2628,36
2629,35
2630,0
2631,35
2632,18
2633,7
2634,33
2635,21
2636,37
2637,17
2638,41
2639,11
2640,38
2641,23
2642,41
2643,17
2644,12
2645,43
2646,34
2647,8
2648,9
2649,35
2650,16
2651,26
2652,27
2653,1
2654,30
2655,25
2656,49
2657,48
2658,4
2659,8
2660,9
2661,30
2662,39
2663,48
2664,22
2665,36
2666,8
2667,21
2668,7
2669,17
2670,20
2671,44
2672,26
2673,23
2674,19
2675,34
2676,37
2677,49
2678,34
2679,14
2680,14
2681,25
2682,16
2683,34
2684,49
2685,12
2686,14
2687,13
2688,11
2689,14
2690,10
2691,22
2692,41
2693,29
2694,9
2695,48
2696,48
2697,28
2698,42
2699,45
2700,16
2701,33
2702,11
2703,31
2704,13
2705,3
2706,33
2707,35
2708,16
2709,43
2710,48
2711,27
2712,3
2713,41
2714,11
2715,11
2716,41
2717,8
2718,27
2719,20
2720,7
2721,44
2722,19
2723,27
2724,2
2725,12
2726,12
2727,24
2728,48
2729,6
2730,33
2731,10
2732,24
2733,4
2734,44
2735,40
2736,46
2737,32
2738,44
2739,33
2740,43
2741,13
2742,32
2743,25
2744,8
2745,40
2746,35
2747,10
2748,40
2749,34
2750,27
2751,25
2752,23
2753,12
2754,42
2755,48
2756,14
2757,26
2758,35
2759,41
2760,2
2761,0
2762,25
2763,41
2764,28
2765,18
2766,4
2767,27
2768,26
2769,28
2770,25
2771,9
2772,16
2773,47
2774,5
2775,8
2776,42
2777,40
2778,22
2779,7
2780,38
2781,12
2782,31
2783,40
2784,3
2785,6
2786,27
2787,47
2788,46
2789,19
2790,13
2791,49
2792,9
2793,28
2794,35
2795,14
2796,21
2797,15
2798,40
2799,49
2800,38
2801,27
2802,45
2803,14
2804,11
2805,14
2806,34
2807,16
2808,28
2809,45
2810,23
2811,46
2812,42
2813,49
2814,35
2815,32
2816,17
2817,46
2818,0
2819,13
2820,20
2821,4
2822,11
2823,44
2824,25
2825,30
2826,14
2827,9
2828,0
2829,29
2830,7
2831,47
2832,43
2833,23
2834,25
2835,10
2836,37
2837,0
2838,16
2839,48
2840,31
2841,43
2842,48
2843,38
2844,6
2845,30
2846,48
2847,19
2848,22
2849,17
2850,30
2851,7
2852,12
2853,19
2854,38
2855,2
2856,2
2857,44
2858,28
2859,48
2860,28
2861,31
2862,7
2863,44
2864,6
2865,39
2866,36
2867,21
2868,18
2869,26
2870,23
2871,8
2872,37
2873,23
2874,12
2875,15
2876,37
2877,49
2878,43
2879,0
2880,7
2881,20
2882,2
2883,17
2884,15
2885,31
2886,14
2887,38
2888,18
2889,32
2890,48
2891,11
2892,5
2893,39
2894,38
2895,19
2896,1
2897,40
2898,30
2899,33
2900,33
2901,45
2902,27
2903,18
2904,7
2905,48
2906,11
2907,29
2908,12
2909,30
2910,25
2911,41
2912,0
2913,46
2914,41
2915,49
2916,22
2917,43
2918,31
2919,4
2920,37
2921,36
2922,39
2923,13
2924,13
2925,31
2926,33
2927,43
2928,22
2929,40
2930,14
2931,13
2932,16
2933,29
2934,4
2935,26
2936,23
2937,11
2938,0
2939,11
2940,15
2941,20
2942,4
2943,43
2944,25
2945,25
2946,45
2947,25
2948,33
2949,19
2950,9
2951,14
2952,37
2953,31
2954,7
2955,13
2956,11
2957,22
2958,6
2959,43
2960,33
2961,12
2962,33
2963,23
2964,23
2965,28
2966,1
2967,48
2968,42
2969,2
2970,38
2971,32
2972,37
2973,48
2974,6
2975,6
2976,33
2977,24
2978,13
2979,34
2980,32
2981,24
2982,35
2983,2
2984,36
2985,7
2986,3
2987,13
2988,40
2989,3
2990,11
2991,6
2992,40
2993,22
2994,41
2995,44
2996,3
2997,32
